email;dem_inviata;dem_consegnata;dem_aperta;li_annuncio_reach;li_annuncio_interazione;li_recap_reach;li_recap_interazione;visita_stand;giorno_visita;visualizzazioni;scroll;accesso_sala_vip;risposte_wordcloud;presenza_simposio;permanenza_min;focus_rate;quiz_completati
claudio.landi@example.org;true;true;true;false;false;false;false;true;2025-10-16;6;0;true;2;false;;;0
luigi.mazza@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
sara.piras@example.org;true;true;true;true;false;false;false;false;;0;0;false;0;false;;;0
margherita.pesce@example.org;true;true;true;false;false;true;true;false;;0;0;false;0;false;;;0
paola.sartori@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
nicola.amato@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
matteo.caruso@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
cristina.marchetti@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
alessandro.poli@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
daniela.carbone@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
viola.gallo@example.org;true;true;true;true;false;false;false;false;;0;0;false;0;false;;;0
giacomo.parisi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
serena.marini@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
luigi.martelli@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
luigi.desantis@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
giovanna.donati@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
giovanna.serra@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
giulia.moretti@example.org;true;false;false;false;false;false;false;false;;0;0;false;0;false;;;0
gabriele.bernardi@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
nicola.carbone@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
giuseppe.cirillo@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
caterina.grassi@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
alessandro.caruso@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
serena.cristofaro@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
barbara.antonelli@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
massimo.bonetti@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
vittorio.bianchi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
enrico.rossi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
angela.toscano@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
angela.morelli@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
sara.cirillo@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
samuele.cerri@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
elisa.monaco@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
martina.longo@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
roberta.parisi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
riccardo.santoro@example.org;true;true;true;false;false;false;false;true;2025-10-17;5;1;true;4;false;;;0
giulia.milani@example.org;true;true;true;false;false;false;false;true;2025-10-16;4;1;false;0;false;;;0
tommaso.fiore@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
samuele.corsi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
lucia.poli@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
angela.valente@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
mariangela.bruno@example.org;true;true;true;true;false;false;false;false;;0;0;false;0;false;;;0
giorgia.donati@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
giorgia.benedetti@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
claudio.damico@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
beatrice.landi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
giulio.guerra@example.org;true;true;true;false;false;false;false;true;2025-10-16;5;2;true;0;true;39;0.6128;2
giorgio.franco@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
luigi.monaco@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
anna.giuliani@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
viola.caruso@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
ilaria.ruggiero@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
serena.sartori@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
susanna.testa@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
margherita.barbieri@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
matteo.palmieri@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
paolo.monaco@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
marco.farina@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
stefano.caputo@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
daniele.gentile@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
pietro.pagano@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
lucia.giuliani@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
daniele.farina@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
martina.toscano@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
roberto.grassi@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
valentina.melchiorre@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
francesco.melchiorre@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
manuela.costa@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
silvia.lorenzi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
antonio.castelli@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
michela.esposito@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
nicola.deluca@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
riccardo.pellegrini@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
samuele.nardi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
vincenzo.galli@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
gabriele.rizzo@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
francesco.sala@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
gianluca.moretti@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
valentina.giuliani@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
giorgio.testa@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
alessandro.bassi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
serena.giordano@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
riccardo.innocenti@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
angela.giuliani@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
lorenzo.denicola@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
filippo.ferretti@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
valeria.bruno@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
andrea.carbone@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;true;51;0.5833;2
massimo.bernardi@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
federica.amato@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
roberta.manfredi@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
claudia.santoro@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
roberto.ricci@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
tommaso.ricci@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
serena.desantis@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
laura.denicola@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
marco.franco@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
cristina.vitale@example.org;true;false;false;false;false;false;false;false;;0;0;false;0;false;;;0
matteo.bellini@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
marta.amato@example.org;true;false;false;false;false;false;false;false;;0;0;false;0;false;;;0
raffaella.gallo@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
claudia.gatti@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
serena.carbone@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
pietro.cirillo@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
jacopo.leone@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
pietro.conte@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
riccardo.longo@example.org;true;true;true;true;false;false;false;false;;0;0;false;0;false;;;0
elena.bernardi@example.org;true;true;true;false;false;false;false;false;;0;0;false;0;false;;;0
silvia.deluca@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
enrico.greco@example.org;true;true;false;false;false;false;false;false;;0;0;false;0;false;;;0
