ID;Nome e cognome;Email (chiave);Tipologia stakeholder;Regione;Canale di ingaggio;In database DEM
1;Claudio Landi;claudio.landi@example.org;HCP - Endocrinologo;Toscana;Database DEM;true
2;Luigi Mazza;luigi.mazza@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
3;Sara Piras;sara.piras@example.org;Studio medico / Ambulatorio;Piemonte;Database DEM;true
4;Margherita Pesce;margherita.pesce@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
5;Paola Sartori;paola.sartori@example.org;HCP - Infermiere / Educatore;Lombardia;Database DEM;true
6;Nicola Amato;nicola.amato@example.org;HCP - Diabetologo;Marche;Database DEM;true
7;Matteo Caruso;matteo.caruso@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
8;Cristina Marchetti;cristina.marchetti@example.org;HCP - Infermiere / Educatore;Puglia;Database DEM;true
9;Alessandro Poli;alessandro.poli@example.org;Altro / Industry;Lombardia;Database DEM;true
10;Daniela Carbone;daniela.carbone@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
11;Viola Gallo;viola.gallo@example.org;HCP - Medico di medicina generale;Veneto;Database DEM;true
12;Giacomo Parisi;giacomo.parisi@example.org;Studio medico / Ambulatorio;Sardegna;Database DEM;true
13;Serena Marini;serena.marini@example.org;HCP - Diabetologo;Veneto;Database DEM;true
14;Luigi Martelli;luigi.martelli@example.org;HCP - Endocrinologo;Friuli-Venezia Giulia;Database DEM;true
15;Luigi Desantis;luigi.desantis@example.org;HCP - Medico di medicina generale;Lombardia;Database DEM;true
16;Giovanna Donati;giovanna.donati@example.org;HCP - Diabetologo;Lazio;Database DEM;true
17;Giovanna Serra;giovanna.serra@example.org;HCP - Infermiere / Educatore;Liguria;Database DEM;true
18;Giulia Moretti;giulia.moretti@example.org;HCP - Diabetologo;Friuli-Venezia Giulia;Database DEM;true
19;Gabriele Bernardi;gabriele.bernardi@example.org;Farmacia ospedaliera;Campania;Database DEM;true
20;Nicola Carbone;nicola.carbone@example.org;Altro / Industry;Emilia-Romagna;Database DEM;true
21;Giuseppe Cirillo;giuseppe.cirillo@example.org;HCP - Endocrinologo;Emilia-Romagna;Database DEM;true
22;Caterina Grassi;caterina.grassi@example.org;HCP - Infermiere / Educatore;Piemonte;Database DEM;true
23;Alessandro Caruso;alessandro.caruso@example.org;HCP - Diabetologo;Emilia-Romagna;Database DEM;true
24;Serena Cristofaro;serena.cristofaro@example.org;HCP - Diabetologo;Lazio;Database DEM;true
25;Barbara Antonelli;barbara.antonelli@example.org;HCP - Endocrinologo;Liguria;Database DEM;true
26;Massimo Bonetti;massimo.bonetti@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
27;Vittorio Bianchi;vittorio.bianchi@example.org;Studio medico / Ambulatorio;Sicilia;Database DEM;true
28;Enrico Rossi;enrico.rossi@example.org;Studio medico / Ambulatorio;Emilia-Romagna;Database DEM;true
29;Angela Toscano;angela.toscano@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
30;Angela Morelli;angela.morelli@example.org;HCP - Infermiere / Educatore;Campania;Database DEM;true
31;Sara Cirillo;sara.cirillo@example.org;Studio medico / Ambulatorio;Puglia;Database DEM;true
32;Samuele Cerri;samuele.cerri@example.org;Altro / Industry;Campania;Database DEM;true
33;Elisa Monaco;elisa.monaco@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
34;Martina Longo;martina.longo@example.org;Farmacia ospedaliera;Lombardia;Database DEM;true
35;Roberta Parisi;roberta.parisi@example.org;Studio medico / Ambulatorio;Veneto;Database DEM;true
36;Riccardo Santoro;riccardo.santoro@example.org;HCP - Medico di medicina generale;Lazio;Database DEM;true
37;Giulia Milani;giulia.milani@example.org;HCP - Medico di medicina generale;Piemonte;Database DEM;true
38;Tommaso Fiore;tommaso.fiore@example.org;HCP - Endocrinologo;Campania;Database DEM;true
39;Samuele Corsi;samuele.corsi@example.org;HCP - Medico di medicina generale;Campania;Database DEM;true
40;Lucia Poli;lucia.poli@example.org;HCP - Diabetologo;Lombardia;Database DEM;true
41;Angela Valente;angela.valente@example.org;Studio medico / Ambulatorio;Lombardia;Database DEM;true
